Time,Magnitude (nT),X,Y,Z
1997-08-07T12:29:51.399000,1.65,-8012090.416581944,5766491.062669048,2662351.884431944
1997-08-07T12:30:24.732000,1.6,-8012119.086834222,5766461.592597579,2662337.4630068033
1997-08-07T12:30:58.066000,1.64,-8012148.624805233,5766431.228719421,2662322.6042113155
1997-08-07T12:31:31.399000,1.64,-8012177.292966782,5766401.757145102,2662308.1820923057
1997-08-07T12:32:04.732000,1.6,-8012205.960098522,5766372.2848305665,2662293.759631443
1997-08-07T12:32:38.066000,1.69,-8012235.494854347,5766341.918641387,2662278.8997689085
1997-08-07T12:33:11.399000,1.72,-8012264.159895238,5766312.444824121,2662264.476614266
1997-08-07T12:33:44.732000,1.65,-8012292.823906558,5766282.970266576,2662250.0531177702
1997-08-07T12:34:18.066000,1.61,-8012322.355447077,5766252.601766496,2662235.1921881903
1997-08-07T12:34:51.399000,1.64,-8012351.017367548,5766223.125706162,2662220.7679978255
1997-08-07T12:35:24.732000,1.65,-8012379.678258091,5766193.648905729,2662206.3434657566
1997-08-07T12:35:58.066000,1.71,-8012409.206583661,5766163.278094627,2662191.4814691003
1997-08-07T12:36:31.399000,1.67,-8012437.865383355,5766133.799791583,2662177.056243192
1997-08-07T12:37:04.732000,1.71,-8012466.523153359,5766104.320748023,2662162.630675431
1997-08-07T12:37:38.065000,1.69,-8012496.048263503,5766073.947626257,2662147.7676118473
1997-08-07T12:43:14.732000,1.82,-8012787.767039908,5765773.747469401,2662000.8660652293
1997-08-07T12:43:48.065000,1.8,-8012817.280253669,5765743.365797632,2661985.999053914
1997-08-07T12:44:21.399000,1.86,-8012845.924386068,5765713.876953185,2661971.568960788
1997-08-07T12:46:34.732000,1.77,-8012961.358480191,5765595.0204719715,2661913.407848674
1997-08-07T12:47:08.065000,1.76,-8012990.8652631,5765564.634179054,2661898.538703624
1997-08-07T12:47:41.398000,1.75,-8013019.503153827,5765535.140849127,2661884.1065394413
1997-08-23T14:08:17.904000,-2.78,-8236357.042849048,3907183.8312752885,1771034.8763080603
1997-08-23T14:08:51.238000,-2.85,-8236335.811510609,3907123.6229415135,1771006.3478626127
1997-08-23T14:09:24.571000,-2.81,-8236315.203186359,3907065.1847618516,1770978.658181199
1997-08-23T14:09:57.904000,-2.75,-8236294.593447009,3907006.7459130017,1770950.9681964885
1997-08-23T14:10:31.237000,-2.76,-8236273.357689713,3906946.5354900565,1770922.4388041322
1997-08-23T14:11:04.571000,-2.64,-8236252.745076897,3906888.0952824447,1770894.7482036182
1997-08-23T14:11:37.904000,-2.24,-8236232.131048743,3906829.6544058234,1770867.0572998966
1997-08-23T14:12:11.237000,-2.23,-8236210.890872587,3906769.4418936493,1770838.526960632
1997-08-23T14:12:44.571000,-1.7,-8236190.273970847,3906710.9996583853,1770810.835441107
1997-08-23T14:13:17.904000,-1.78,-8236169.655653532,3906652.5567539334,1770783.1436182552
1997-08-23T14:13:51.237000,-0.76,-8236148.411058518,3906592.3421525294,1770754.612332112
1997-08-23T14:14:24.571000,1.17,-8236127.7898677355,3906533.897889435,1770726.9198935165
1997-08-23T14:14:57.904000,1.32,-8236107.167261377,3906475.4529572716,1770699.2271516537
1997-08-23T14:15:31.237000,0.87,-8236085.918247029,3906415.236266638,1770670.6949186316
1997-08-23T14:16:04.571000,-0.11,-8236065.292766965,3906356.7899758318,1770643.0015609656
