Time,X,Y,Z
1999-09-07T16:00:53.404000,-4208971.925933336,-300489.65674261213,-212665.5944687091
1999-09-08T08:40:53.404000,-3980801.0263627833,-418690.07263508823,-264892.0451784902
1999-09-09T01:20:53.404000,-3724445.6319140284,-533901.8988681267,-315230.8154213008
1999-09-09T18:00:53.404000,-3436443.8948306567,-644538.0605430993,-362871.83807852963
1999-09-10T10:40:53.404000,-3112223.074153728,-748315.628121353,-406656.65836816287
1999-09-11T03:20:53.404000,-2745534.3606017134,-841765.5920843721,-444836.6213701089
1999-09-11T20:00:53.404000,-2327449.8507810775,-919228.5150153751,-474580.04078820633
1999-09-12T12:40:53.404000,-1844439.6440552548,-970523.2579648681,-490835.01616843475
1999-09-13T05:20:53.404000,-1274367.001123102,-974452.466295723,-483184.0748210239
1999-09-13T22:00:53.404000,-578396.6150490774,-874557.7073430486,-424216.48406152736
1999-09-14T14:40:53.404000,263780.247541061,-434281.62657266436,-201459.12639717013
1999-09-15T07:20:53.404000,315243.220598638,610007.0296309154,294420.44207063405
1999-09-16T00:00:53.404000,-246681.73233110143,1192351.6828764225,561090.7764598023
1999-09-16T16:40:53.404000,-781665.4532007024,1524448.494415103,709585.9054658304
1999-09-17T09:20:53.404000,-1234270.7385521017,1744329.6497242353,806255.3166257459
1999-09-18T02:00:53.404000,-1638062.1916281744,1895142.479007671,871000.8763630856
1999-09-18T18:40:53.404000,-2001638.5146277647,1998882.5038635477,914104.2610539607
1999-09-19T11:20:53.404000,-2330352.230401382,2067562.1192583162,941170.3323820732
1999-09-20T04:00:53.404000,-2628150.415548024,2108682.840668362,955689.1588364855
1999-09-20T20:40:53.404000,-2897999.507188327,2127296.904421127,960006.2077804127
1999-09-21T13:20:53.404000,-3142201.21889521,2127021.0669289017,955796.0660782541
1999-09-22T06:00:53.404000,-3362451.3077036208,2110496.4586411198,944283.8641564702
1999-09-22T22:40:53.404000,-3560108.867303829,2079764.566826763,926414.6751986372
1999-09-23T15:20:53.404000,-3736231.891287925,2036431.3574827535,902932.1440713314
1999-09-24T08:00:53.404000,-3891636.767241867,1981788.3437249174,874434.8859431328
1999-09-25T00:40:53.404000,-4026939.842529527,1916893.9648419507,841414.3690943619
1999-09-25T17:20:53.404000,-4142586.606231683,1842630.0540582847,804281.1948178627
1999-09-26T10:00:53.404000,-4238872.05097696,1759742.7699467305,763384.1454150198
1999-09-27T02:40:53.404000,-4315952.823645331,1668873.6545910155,719024.6334497943
1999-09-27T19:20:53.404000,-4373857.6462269155,1570580.195025473,671466.563906472
1999-09-28T12:00:53.404000,-4412485.911662167,1465356.4180746807,620945.8068531319
1999-09-29T04:40:53.404000,-4431606.806121402,1353646.943034216,567676.9807217979
1999-09-29T21:20:53.404000,-4430852.416269225,1235860.0302136466,511859.7520024133
1999-09-30T14:00:53.404000,-4409705.272610267,1112379.7973686894,453684.8327799628
1999-10-01T06:40:53.404000,-4367479.243198175,983578.3510680721,393340.04975523887
1999-10-01T23:20:53.404000,-4303292.260747631,849829.3590879999,331017.0624084235
1999-10-02T16:00:53.404000,-4216027.2518175095,711523.53488017,266919.72465789475
1999-10-03T08:40:53.404000,-4104277.930331998,569089.3008611882,201274.69298890722
1999-10-04T01:20:53.404000,-3966272.3106031152,423022.3320965632,134346.44872236982
1999-10-04T18:00:53.404000,-3799760.4847180056,273929.29268717556,66460.03911145047
1999-10-05T10:40:53.404000,-3601846.698840449,122596.6557634587,-1963.5012530802976
1999-10-06T03:20:53.404000,-3368729.9430433805,-29894.27125825011,-70348.30809051877
1999-10-06T20:00:53.404000,-3095284.40702272,-181961.64234741233,-137859.19717690334
1999-10-07T12:40:53.404000,-2774340.80333649,-331123.73146891507,-203200.42062898588
1999-10-08T05:20:53.404000,-2395352.501100223,-473138.5093132573,-264185.65871565504
1999-10-08T22:00:53.404000,-1941646.5730706628,-599880.1283794844,-316685.78453265585
1999-10-09T14:40:53.404000,-1383929.255353022,-692892.5964948954,-351466.44882833783
1999-10-10T07:20:53.404000,-662306.0974927805,-695381.9853004462,-340613.8143304052
1999-10-11T00:00:53.404000,288096.3332474775,-270673.7484900787,-123479.5169960278
1999-10-11T16:40:53.404000,141072.05191230454,775354.7047749307,371723.1893656559
1999-10-12T09:20:53.404000,-415752.75990114495,1304549.8618058418,614777.9955200306
1999-10-13T02:00:53.404000,-924265.4184141149,1639055.1609225895,765859.7219153577
1999-10-13T18:40:53.404000,-1382622.9115971045,1880392.9442348971,873369.4217976121
1999-10-14T11:20:53.404000,-1800018.3964671607,2064976.140979237,954506.3324805526
1999-10-15T04:00:53.404000,-2183617.394361754,2210402.255529876,1017538.04245005
1999-10-15T20:40:53.404000,-2538603.200715355,2326684.212254997,1067150.006717268
1999-10-16T13:20:53.404000,-2868787.6823451063,2420133.6541211023,1106285.5818120742
1999-10-17T06:00:53.404000,-3177078.868019779,2495054.5755370506,1136950.5485472367
1999-10-17T22:40:53.404000,-3465726.951602175,2554509.180885116,1160567.2599679416
1999-10-18T15:20:53.404000,-3736519.750630273,2600774.0762557597,1178191.3001099394
1999-10-19T08:00:53.404000,-3990903.8436922473,2635595.7979243957,1190631.2324847959
1999-10-20T00:40:53.404000,-4230067.328997566,2660349.0842455877,1198522.602874104
1999-10-20T17:20:53.404000,-4455001.556552238,2676137.4638549555,1202375.2021395308
1999-10-21T10:00:53.404000,-4666539.712021703,2683864.2292446913,1202605.8522550901
1999-10-22T02:40:53.404000,-4865389.069950439,2684279.576447893,1199560.4828997534
1999-10-22T19:20:53.404000,-5052154.198519788,2678014.760716385,1193530.0269700368
1999-10-23T12:00:53.404000,-5227354.574775465,2665607.0210732985,1184762.0086538212
1999-10-24T04:40:53.404000,-5391438.2817285955,2647518.0733498516,1173469.1312820625
1999-10-24T21:20:53.404000,-5544792.931380389,2624148.2474599243,1159835.8349330323
1999-10-25T14:00:53.404000,-5687754.222194612,2595847.478372023,1144023.3932360937
1999-10-26T06:40:53.404000,-5820612.697481131,2562923.837097152,1126173.8683357937
1999-10-26T23:20:53.404000,-5943619.270719087,2525650.3625495997,1106413.0795009208
1999-10-27T16:00:53.404000,-6056989.641316106,2484270.285799994,1084853.4699239195
1999-10-28T08:40:53.404000,-6160908.024958979,2439001.5602630205,1061596.0351636424
1999-10-29T01:20:53.404000,-6255530.140869176,2390040.6381040188,1036731.8489108308
1999-10-29T18:00:53.404000,-6340985.551466014,2337565.4197060117,1010343.5705281765
1999-10-30T10:40:53.404000,-6417379.558167472,2281737.7794750244,982506.617602026
1999-10-31T03:20:53.404000,-6484794.682574672,2222705.6635781256,953290.1412147917
1999-10-31T20:00:53.404000,-6543291.894433406,2160604.8755631996,922757.8566410645
1999-11-01T12:40:53.404000,-6592911.544433443,2095560.6802963126,890968.791896433
1999-11-02T05:20:53.404000,-6633673.93098877,2027689.1937632556,857977.9406203092
1999-11-02T22:00:53.404000,-6665586.478715859,1957161.4476398497,823724.6172904937
1999-11-03T14:40:53.404000,-6688644.396718266,1884203.9163758114,788031.374973172
1999-11-04T07:20:53.404000,-6702787.708550136,1808723.752139176,751282.4681006231
1999-11-05T00:00:53.404000,-6707957.427505126,1730810.4430986461,713523.1615056873
1999-11-05T16:40:53.404000,-6704073.823043805,1650549.6454808866,674796.3359417107
1999-11-06T09:20:53.404000,-6691035.46850413,1568023.5907665286,635143.6121402292
1999-11-07T02:00:53.404000,-6668718.003282203,1483311.8616091302,594605.7486233772
1999-11-07T18:40:53.404000,-6636972.614189329,1396492.1386231082,553223.031028823
1999-11-08T11:20:53.404000,-6595624.233773052,1307641.0320465157,511035.70693995245
1999-11-09T04:00:53.404000,-6544469.24708249,1216835.0295838187,468084.4853246731
1999-11-09T20:40:53.404000,-6483272.58780086,1124151.5288740287,424411.0884350412
1999-11-10T13:20:53.404000,-6411764.154604728,1029669.9480628152,380058.8540816241
1999-11-11T06:00:53.404000,-6329632.21598048,933473.3736348309,335074.65261855366
1999-11-11T22:40:53.404000,-6236523.065701549,835650.2478680696,289505.5362797484
1999-11-12T15:20:53.404000,-6132033.954360922,736293.458575234,243404.94699116444
1999-11-13T08:00:53.404000,-6015701.262897476,635506.3000363644,196831.29592194542
1999-11-14T00:40:53.404000,-5886992.705770998,533404.1481949565,149850.0876282733
1999-11-14T17:20:53.404000,-5745294.879837955,430118.282221637,102535.99517609626
